;CL00_PV_Solar_all;CL01_PV_Solar_all;CL02_PV_Solar_all;CL03_PV_Solar_all;CL04_PV_Solar_all;CL05_PV_Solar_all;CL06_PV_Solar_all
154;0,29545340090553274;0,2560017276628723;0,3645209167609598;0,28419975988258483;0,23057107487245213;0,16361160466407562;0,19105008748895075
155;0,25618366342773674;0,31747971581515144;0,3864760220836444;0,29570510770476793;0,21633401486791715;0,1783640724229962;0,23041812428284247
156;0,2523601584299399;0,28690419976456294;0,3436534044408849;0,22898899563011305;0,14412139262667267;0,1455538676182784;0,204026868443873
157;0,19363603651402397;0,19740796734250504;0,25856172981738396;0,151262658073447;0,0996004332966991;0,08717876189660669;0,10653026035391579
158;0,07626352721066916;0,08561610825443382;0,13010977078926467;0,05432357520759636;0,03684335262711173;0,03893519715307478;0,03847456417058688
159;0,0;0,0;0,014452178912428648;0,0;0,0;0,0;0,0
160;0,0;0,0;0,0;0,0;0,0;0,0;0,0
161;0,0;0,0;0,0;0,0;0,0;0,0;0,0
162;0,0;0,0;0,0;0,0;0,0;0,0;0,0
163;0,0;0,0;0,0;0,0;0,0;0,0;0,0
164;0,0;0,0;0,0;0,0;0,0;0,0;0,0
165;0,0;0,0;0,0;0,0;0,0;0,0;0,0
166;0,0;0,0;0,0;0,0;0,0;0,0;0,0
167;0,0;0,0;0,0;0,0;0,0;0,0;0,0
168;0,0;0,0;0,0;0,0;0,0;0,0;0,0
169;0,0;0,0;0,0;0,0;0,0;0,0;0,0
170;0,0;0,0;0,0;0,0;0,0;0,0;0,0
171;0,0;0,0;0,0;0,0;0,0;0,0;0,0
172;0,0;0,0;0,0;0,0;0,0;0,0;0,0
173;0,0;0,0;0,0;0,0;0,0;0,0;0,0
174;0,0;0,0;0,0;0,0;0,0;0,0;0,0
175;0,057537967556750814;0,05424597496566997;0,03636801124763281;0,041879265752244224;0,028410555354485473;0,02877249276076177;0,0275503778685672
176;0,17715791919211915;0,1548725153061593;0,15413442700528188;0,11858011711670184;0,08466433989788974;0,09566097668650275;0,08045112275572469
177;0,2610050947977805;0,21784059973323022;0,265544505366786;0,17617616490364604;0,15213268213274433;0,16679837539963063;0,14553693051680497
178;0,27189597337060684;0,25505866578406317;0,34338839349171185;0,1910387690270728;0,22905730814542052;0,2349951404410367;0,19471020613128381
179;0,26877819160996835;0,2740234572202096;0,34096809628206015;0,20106418685653443;0,2449074393184686;0,27145420152391925;0,21458864353586674
180;0,23674044073921233;0,266479902192502;0,28325930058886833;0,1684710883780756;0,19294949902308295;0,24223476671533273;0,19396414436905907
181;0,17239351036100053;0,19811367668419655;0,21144914670195192;0,1140761486983498;0,131173336363551;0,14860011503512213;0,13356246399295313
182;0,07481970367708599;0,08482807427604168;0,10893897006560273;0,04392839074967638;0,04071693629377607;0,05499900611905262;0,047347506225237874
183;0,0;0,0;0,012406359889983162;0,0;0,0;0,0;0,0
