;IND
365;7,610350076103501e-05
366;0,00015220700152207003
367;0,00015220700152207003
368;0,00015220700152207003
369;0,00015220700152207003
370;0,00015220700152207003
371;0,00015220700152207003
372;0,00015220700152207003
373;0,00015220700152207003
374;0,00011415525114155251
375;0,00011415525114155251
376;0,00011415525114155251
377;0,00011415525114155251
378;0,00011415525114155251
379;0,00011415525114155251
380;0,00011415525114155251
381;0,00011415525114155251
382;7,610350076103501e-05
383;7,610350076103501e-05
384;7,610350076103501e-05
385;7,610350076103501e-05
386;7,610350076103501e-05
387;7,610350076103501e-05
388;7,610350076103501e-05
389;7,610350076103501e-05
390;0,00015220700152207003
391;0,00015220700152207003
392;0,00015220700152207003
393;0,00015220700152207003
394;0,00015220700152207003
395;0,00015220700152207003
396;0,00015220700152207003
397;0,00015220700152207003
398;0,00011415525114155251
399;0,00011415525114155251
400;0,00011415525114155251
401;0,00011415525114155251
402;0,00011415525114155251
403;0,00011415525114155251
404;0,00011415525114155251
405;0,00011415525114155251
406;7,610350076103501e-05
407;7,610350076103501e-05
408;7,610350076103501e-05
409;7,610350076103501e-05
410;7,610350076103501e-05
411;7,610350076103501e-05
412;7,610350076103501e-05
413;7,610350076103501e-05
414;0,00015220700152207003
415;0,00015220700152207003
416;0,00015220700152207003
417;0,00015220700152207003
418;0,00015220700152207003
419;0,00015220700152207003
420;0,00015220700152207003
421;0,00015220700152207003
422;0,00011415525114155251
423;0,00011415525114155251
424;0,00011415525114155251
425;0,00011415525114155251
426;0,00011415525114155251
427;0,00011415525114155251
428;0,00011415525114155251
429;0,00011415525114155251
430;7,610350076103501e-05
431;7,610350076103501e-05
432;7,610350076103501e-05
433;7,610350076103501e-05
434;7,610350076103501e-05
435;7,610350076103501e-05
436;7,610350076103501e-05
437;7,610350076103501e-05
438;0,00015220700152207003
439;0,00015220700152207003
440;0,00015220700152207003
441;0,00015220700152207003
442;0,00015220700152207003
443;0,00015220700152207003
444;0,00015220700152207003
445;0,00015220700152207003
446;0,00011415525114155251
447;0,00011415525114155251
448;0,00011415525114155251
449;0,00011415525114155251
450;0,00011415525114155251
451;0,00011415525114155251
452;0,00011415525114155251
453;0,00011415525114155251
454;7,610350076103501e-05
455;7,610350076103501e-05
456;7,610350076103501e-05
457;7,610350076103501e-05
458;7,610350076103501e-05
459;7,610350076103501e-05
460;7,610350076103501e-05
461;7,610350076103501e-05
462;0,00015220700152207003
463;0,00015220700152207003
464;0,00015220700152207003
465;0,00015220700152207003
466;0,00015220700152207003
467;0,00015220700152207003
468;0,00015220700152207003
469;0,00015220700152207003
470;0,00011415525114155251
471;0,00011415525114155251
472;0,00011415525114155251
473;0,00011415525114155251
474;0,00011415525114155251
475;0,00011415525114155251
476;0,00011415525114155251
477;0,00011415525114155251
478;7,610350076103501e-05
479;7,610350076103501e-05
480;7,610350076103501e-05
481;7,610350076103501e-05
482;7,610350076103501e-05
483;7,610350076103501e-05
484;7,610350076103501e-05
485;7,610350076103501e-05
486;0,00015220700152207003
487;0,00015220700152207003
488;0,00015220700152207003
489;0,00015220700152207003
