CL;Wind_FLH;Solar_FLH
141;1715,8940135076311;1342,2743696731457
142;1799,2739444068745;1304,888796609873
143;1632,6738817022658;1371,5663515726949
144;2207,5785995469123;1434,9773712758915
145;1360,6727064042448;1448,548346367163
146;1338,2502123331296;1334,416058448924
147;2693,3007817370803;1311,9647261243838
148;1816,1921065606773;1305,690042168376
149;1003,4870079183154;1438,6127004697942
150;793,5886045652388;1352,8094341699536
151;1502,6419707247576;1450,790221803809
152;1083,1528025914167;1356,012128792248
153;637,6018441761125;1387,473582809323
154;673,2624079919536;1368,9965747939823
155;1830,3098270787343;1367,1548926307375
156;2180,7997280253553;1319,440740978516
157;1425,7602836547153;1422,8862757048191
158;2390,414126500409;1315,8398777293064
159;2166,714437071232;1358,8050696282082
160;1433,8844801024509;1309,0586081754216
161;1945,2972657595303;1380,19297748412
162;2084,8947172737676;1430,0399917148443
163;1904,296116702603;1322,1669667620938
164;2553,318822133908;1318,5581366615347
165;1201,0440036439757;1384,201219077688
166;2069,9993015578716;1372,3068362056954
167;2968,3866600710094;1346,4590746143983
168;694,5336307126885;1371,8300433494153
169;555,0100226856249;1380,9726487472326
170;1432,8972078919933;1358,305333288598
171;786,6802034309876;1292,6310493154115
172;1176,4633392225958;1452,0397376438518
173;1467,3427381902004;1301,5731108120442
174;1447,1565130523747;1367,4652611249662
175;1073,0728002795418;1390,8882725467076
176;2317,5740695813297;1357,4376593132606
177;1502,5918270218642;1508,600620623355
178;2892,9349167138826;1310,6045903198908
179;1873,1027937317;1387,4271030488349
180;1630,1244487793947;1330,3401286170395
181;1633,6730812910534;1425,0823961442043
182;742,3177921909169;1351,8131592962548
183;1097,0373763993393;1360,964601368689
184;1673,5362817430591;1314,5982547490748
185;1584,0598801722165;1335,2572073349643
186;2247,031485752113;1361,9828372369514
187;1099,1544014259841;1375,8771606963044
188;712,734402558995;1356,459874378043
189;1311,8353025866645;1453,992897424391
190;1838,9207051037786;1458,7348468550938
191;1492,1992698931674;1451,9405848244323
192;551,3488314652399;1387,1499339141903
193;2481,6462607886647;1355,3028894648917
194;1294,3964782612884;1305,5781935231578
195;2558,514936055035;1507,1585505649832
196;1990,6791439177384;1356,4970592511843
197;930,8101336024657;1346,5157529110916
198;2155,385246668585;1446,9915105870027
199;1960,647292457848;1353,3839804724068
200;2142,112393455138;1350,8867156208942
201;3095,5705814322077;1448,1197698468688
202;1660,8071055914022;1358,6901788463304
203;2151,815704773064;1329,2680297023624
204;2138,820603786372;1449,9983327030234
205;1151,0226270423793;1451,7104447362951
206;1987,899328600972;1336,384408890312
207;1774,1951233745922;1334,3217470254772
208;2272,8118316234027;1319,6409034264732
209;1567,9249537307853;1342,5088027253046
210;1385,9852892411539;1417,3681506689957
211;1920,4909431644064;1345,7422262676564
212;408,41059383970276;1376,2134053742725
213;2399,84347763293;1334,246210060118
214;1235,9580249372052;1343,2817651514604
215;1649,0017702016025;1470,4497700150077
216;1903,6700974414184;1309,0982943880263
