Name;Fueltype;Technology;Set;Country;inst-cap;Duration;YearCommissioned;Retrofit;Latitude;Longitude;File;projectID;Type
Säckingen;Hydro;Pumped Storage;Store;Germany;360,0;6,0;1966,0;1967,0;47,5656;7,95418;energy_storage_exchange;{u'ESE': [u'ESE32'], u'OPSD': [u'BNA0045', u'BNA0046'], u'CARMA': [u'CARMA38497', u'CARMA38496']};PumSt
Robiei;Hydro;Pumped Storage;Store;Switzerland;160,0;0,0;2016,0;2016,0;46,336793799999995;8,6092811;energy_storage_exchange;{u'ESE': [u'ESE142'], u'OPSD': [u'OEU961'], u'CARMA': [u'CARMA37677']};PumSt
Pintado;Hydro;Pumped Storage;Store;Spain;14,0;0,0;1951,0;1966,0;37,937529999999995;-5,780025;energy_storage_exchange, SEDE;{u'ESE': [u'ESE205'], u'OPSD': [u'OEU3431', u'OEU4833', u'OEU4834', u'OEU4835'], u'CARMA': [u'CARMA34719']};PumSt
Ova spin;Hydro;Pumped Storage;Store;Switzerland;47,0;0,0;1969,0;1970,0;46,7004826;10,0949116;energy_storage_exchange, BFE;{u'ESE': [u'ESE135'], u'OPSD': [u'OEU1008', u'OEU1009'], u'CARMA': [u'CARMA33149']};PumSt
Niederwartha;Hydro;Pumped Storage;Store;Germany;40,0;0,0;1957,0;1957,0;51,093356;13,603731400000001;energy_storage_exchange;{u'ESE': [u'ESE29'], u'OPSD': [u'BNA0721'], u'CARMA': [u'CARMA31166']};PumSt
Leitzachwerk;Hydro;Pumped Storage;Store;Germany;49,2;11,25;1960,0;1983,0;47,8483283;11,857491;energy_storage_exchange;{u'ESE': [u'ESE42'], u'OPSD': [u'BNA0973', u'BNA0972'], u'CARMA': [u'CARMA24891']};PumSt
Bleiloch;Hydro;Pumped Storage;Store;Germany;80,0;0,0;1932,0;1932,0;50,5166667;11,7166667;energy_storage_exchange;{u'ESE': [u'ESE25'], u'OPSD': [u'BNA0882'], u'CARMA': [u'CARMA4904']};PumSt
Langenprozelten;Hydro;Pumped Storage;Store;Germany;164,0;5,8;1974,0;1976,0;50,059739;9,626973300000001;energy_storage_exchange;{u'ESE': [u'ESE40'], u'OPSD': [u'BNA0337'], u'CARMA': [u'CARMA24406']};PumSt
Kuhtai psh kühtai;Hydro;Pumped Storage;Store;Austria;289,0;12,6;1980,0;1981,0;47,253741399999996;11,601486999999999;energy_storage_exchange;{u'ESE': [u'ESE189'], u'OPSD': [u'BNA0567a', u'BNA0567b'], u'CARMA': [u'CARMA23242']};PumSt
Ibón ip;Hydro;Pumped Storage;Store;Spain;88,5;0,0;1969,0;1969,0;42,7201458;-0,4561335999999999;energy_storage_exchange, SEDE;{u'ESE': [u'ESE203'], u'OPSD': [u'OEU4735', u'OEU4736', u'OEU4737'], u'CARMA': [u'CARMA19510']};PumSt
Gobantes;Hydro;Pumped Storage;Store;Spain;3,6;0,0;1947,0;1955,0;36,95558;-4,798108;energy_storage_exchange, SEDE;{u'ESE': [u'ESE200'], u'OPSD': [u'OEU4722'], u'CARMA': [u'CARMA15339']};PumSt
Glems;Hydro;Pumped Storage;Store;Germany;90,0;6,5;1964,0;1964,0;48,5071632;9,2854502;energy_storage_exchange;{u'ESE': [u'ESE37'], u'OPSD': [u'BNA0669'], u'CARMA': [u'CARMA15244']};PumSt
Ferrera;Hydro;Pumped Storage;Store;Switzerland;185,0;0,0;2017,0;2017,0;46,5301934;9,453590400000001;energy_storage_exchange;{u'ESE': [u'ESE137'], u'OPSD': [u'OEU384', u'OEU385'], u'CARMA': [u'CARMA13343']};PumSt
Etzelwerk;Hydro;Pumped Storage;Store;Switzerland;135,0;0,0;1937,0;1992,0;47,1369626;8,780062599999999;energy_storage_exchange,  - Wasserkraftanteile: Hoheitsanteile nicht festgelegt;{u'ESE': [u'ESE141'], u'OPSD': [u'OEU754'], u'CARMA': [u'CARMA1159']};PumSt
H.c. ørsted;Natural Gas;CCGT;PP;Denmark;100,0;0,0;1985,0;2004,0;55,65756999999999;12,55563;Energinet DK;{u'OPSD': [u'OEU5858', u'OEU5859'], u'GEO': [u'GEO44235'], u'CARMA': [u'CARMA17244']};Gas
Stenungsund;Oil;Steam Turbine;PP;Sweden;520,0;0,0;;;58,086598;11,844533;Nord Pool, Nordpool;{u'GPD': [u'GPD13955'], u'OPSD': [u'OEU5486', u'OEU5485'], u'ENTSOE': [u'46WPU0000000056I', u'46WPU0000000057G']};OilOther
Rheinhafen dampfkraftwerk;Natural Gas;CCGT;PP;Germany;353,0;0,0;1998,0;1998,0;49,0125;8,302778;Open Power System Data;{u'GPD': [u'GPD8553'], u'OPSD': [u'BNA0514'], u'ENTSOE': [u'11WD4DAXLA-2S--6']};Gas
Naturkraft;Natural Gas;CCGT;PP;Norway;450,0;0,0;;;59,274089;5,515715;ENTSOE, Nordpool;{u'GPD': [u'GPD11717'], u'OPSD': [u'OEU5398'], u'ENTSOE': [u'50WP00000000493N']};Gas
Forssa kt;Oil;NaN;PP;Finland;332,6;0,0;;;60,790029;23,586671;Nord Pool, EnergyAuthority;{u'GPD': [u'GPD5577'], u'OPSD': [u'OEU1464'], u'ENTSOE': [u'44W-T-KT-000001I']};OilOther
Ec włocławek;Natural Gas;NaN;PP;Poland;485,0;0,0;;;52,6483303;19,0677357;ENTSOE, GPI;{u'GPD': [u'GPD12033'], u'OPSD': [u'OEU249'], u'ENTSOE': [u'19W000000000256W']};Gas
Blenod;Natural Gas;NaN;PP;France;427,0;0,0;;;48,86959;6,08377;RTE Transmission Operator, RTE;{u'GPD': [u'GPD5879'], u'OPSD': [u'OEU94'], u'ENTSOE': [u'17W100P100P0243J']};Gas
Magnum;Natural Gas;CCGT;PP;Netherlands;1311,0;0,0;2013,0;2013,0;53,45149;6,85268;Vattenfall, Tennet_Q4;{u'GPD': [u'GPD11371'], u'OPSD': [u'OEU56', u'OEU55', u'OEU57'], u'GEO': [u'GEO44513']};Gas
