Country;Duration;File;Fueltype;Latitude;Longitude;Name;Prob;Retrofit;Set;Technology;Type;YearCommissioned;inst-cap;projectID;Year;year_mu;year_stdev
Italy;0,0;energy_storage_exchange, Terna;Hydro;41,3766245;14,088517000000001;Domenico_cimarosa_presenzano;;1991,0;Store;Pumped Storage;PumSt;1991,0;1000,0;{u'GEO': [u'GEO45430'], u'ESE': [u'ESE17'], u'ENTSOE': [u'26WIMPI-S15PRSN8'], u'CARMA': [u'CARMA35733'], u'OPSD': [u'OEU1120']};1991,0;;
France;0,0;energy_storage_exchange, RTE;Hydro;44,059565;2,768856;Le_pouget;;1983,0;Store;Pumped Storage;PumSt;1951,0;445,0;{u'GEO': [u'GEO39723'], u'ESE': [u'ESE52'], u'ENTSOE': [u'17W100P100P0290A'], u'CARMA': [u'CARMA35556', u'CARMA24759'], u'OPSD': [u'OEU152']};1983,0;;
Poland;4,0;energy_storage_exchange, GPI;Hydro;49,7704966;19,211663100000003;Porabka_zar;;1998,0;Store;Pumped Storage;PumSt;1953,0;500,0;{u'GEO': [u'GEO42472', u'GEO42466'], u'ESE': [u'ESE173'], u'ENTSOE': [u'19W000000000247X'], u'CARMA': [u'CARMA35310', u'CARMA35311'], u'OPSD': [u'OEU301', u'OEU302', u'OEU299', u'OEU300']};1998,0;;
France;0,0;energy_storage_exchange, RTE;Hydro;44,709426;2,640329;Montézic;;1982,0;Store;Pumped Storage;PumSt;1982,0;910,0;{u'GEO': [u'GEO42240'], u'ESE': [u'ESE54'], u'ENTSOE': [u'17W100P100P02772'], u'CARMA': [u'CARMA29248'], u'OPSD': [u'OEU111']};1982,0;;
Germany;4,0;energy_storage_exchange;Hydro;50,53528;12,864104600000001;Markersbach;;1980,0;Store;Pumped Storage;PumSt;1979,0;1050,0;{u'GEO': [u'GEO44337'], u'ESE': [u'ESE12'], u'ENTSOE': [u'11WD8MARK1H----7'], u'CARMA': [u'CARMA27280'], u'OPSD': [u'BNA0652']};1980,0;;
Austria;0,0;energy_storage_exchange, https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke;Hydro;47,0791667;13,339166699999998;Malta_upper;;1979,0;Store;Pumped Storage;PumSt;1979,0;120,0;{u'GEO': [u'GEO44814'], u'ESE': [u'ESE122'], u'ENTSOE': [u'14W-DMO-KW-----D'], u'CARMA': [u'CARMA26839'], u'OPSD': [u'OEU5758']};1979,0;;
Austria;0,0;energy_storage_exchange, https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke;Hydro;46,872409999999995;13,326529999999998;Malta_main;;1979,0;Store;Pumped Storage;PumSt;1978,0;730,0;{u'GEO': [u'GEO44815'], u'ESE': [u'ESE117'], u'ENTSOE': [u'14W-DMH-KW-----9'], u'CARMA': [u'CARMA26838'], u'OPSD': [u'OEU5757']};1979,0;;
Switzerland;0,0;energy_storage_exchange,  - Bei Pumpbetrieb wird Wasser der Zentrale Tierfehd (Hintersand) in den Limmernsee gefördert                                                         ;Hydro;46,9218287;8,999643800000001;Linthal_linth_limmern_expansion;;2016,0;Store;Pumped Storage;PumSt;1964,0;1000,0;{u'GEO': [u'GEO45436'], u'ESE': [u'ESE139'], u'ENTSOE': [u'12W-0000000018-B'], u'CARMA': [u'CARMA25356'], u'OPSD': [u'OEU695', u'OEU697']};2016,0;;
Germany;4,0;energy_storage_exchange;Hydro;51,4031667;7,432837599999999;Herdecke;;1989,0;Store;Pumped Storage;PumSt;1989,0;153,0;{u'GEO': [u'GEO44351'], u'ESE': [u'ESE39'], u'ENTSOE': [u'11WD7KOEP2P--KWG'], u'CARMA': [u'CARMA22597'], u'OPSD': [u'BNA0443']};1989,0;;
Austria;0,0;energy_storage_exchange, https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke;Hydro;47,14584;11,96699;Häusling;;1988,0;Store;Pumped Storage;PumSt;1988,0;360,0;{u'GEO': [u'GEO45046'], u'ESE': [u'ESE119'], u'ENTSOE': [u'14W-TZH-KW-----7'], u'CARMA': [u'CARMA17147'], u'OPSD': [u'OEU5732']};1988,0;;
