;CL00;CL01;CL02;CL03;CL04;CL05;CL06;CL07
97;575,3967113377637;414,77169043430933;943,7830172583756;1165,846689692619;350,20382659669474;900,4758634984278;1701,9278100263664;651,5405279437068
98;607,7252425042549;439,3804485507873;992,5573919277638;1117,7946124915288;361,2508500017508;836,3754244469432;1523,79666601698;673,7621578064993
99;608,8063419016717;440,2873807773696;994,7896864304053;1098,0977264599242;360,4911609244209;814,5794878047441;1469,9543087348402;672,3388955623905
100;624,3814599595137;450,56418523363806;1030,7267778168543;1125,345595778056;370,18349899648604;836,4388750881246;1512,8909241390054;692,9159696789984
101;642,5580548269976;461,6099909610601;1068,7290987637016;1255,394572824517;388,3285968551095;962,8516179067761;1803,6505976901187;727,4709747116248
102;718,9205869939865;525,5778525500187;1170,0469274594157;1383,0617848545808;430,946701816537;1047,8728864274156;1932,13449013461;799,5087765548188
103;745,5634416371131;537,7598001955029;1219,9383818926751;1548,2835012154721;456,6746525242609;1203,3300146891597;2287,9985043243514;847,1508013821598
104;840,2492440542998;594,3403198984088;1399,4611403993274;1595,3680626180026;506,01253282122263;1215,02856416929;2262,5987595346883;950,9645133076214
105;915,6374745823937;642,88373894719;1555,6159015933063;1598,8376237050602;542,4267012886644;1189,0772639069962;2159,34128367694;1031,9515762475858
106;923,8961666877525;651,6629133768067;1586,4810604753775;1622,60745757085;548,2516908522679;1207,7865619350177;2196,249298351831;1045,262971570053
107;918,849224755836;648,8113299306243;1587,524833878012;1656,0934823020998;548,667594648939;1244,1756883389396;2286,2341569022865;1046,5001854900233
108;885,9224344794679;627,7330076690811;1526,8722651344488;1625,3141874693517;531,3800255766531;1225,723771704079;2261,5635093177366;1010,1405118016572
109;875,4941181345665;624,9912339711337;1498,7712409349774;1633,2065988699574;525,9403332927398;1236,5851980826462;2288,5633007462693;996,2213732262412
110;836,1329609146017;592,3456139016192;1442,1894260467618;1653,2957155241124;509,9387233951645;1280,373635572462;2429,789793136736;967,4745065281534
111;853,1777520525608;603,8532795046838;1480,2638905235417;1640,7098043049828;517,0597142908159;1261,546301792738;2376,8022565440465;984,9726020421442
112;899,0018393923522;633,7173463427969;1567,8552667306042;1712,0090287664777;543,510946934065;1317,4954352821446;2482,8573776519547;1039,6329508609028
113;852,9418637540407;598,3406157953847;1479,2643666724366;1782,1875125248835;528,1626397012186;1403,5812243065393;2716,3046415651906;1002,2954664925221
114;781,6429370684983;544,1953539063694;1320,9718273793517;1787,3376990384756;494,98729263521875;1434,552064089778;2836,6045001546304;927,2647917822345
115;686,8514041772141;478,33954101036664;1112,8499780962688;1729,4969254270757;445,1178097176239;1404,5270586707265;2823,1995281111153;817,7816142765921
116;634,4945422472642;446,91263087691476;1020,112261496801;1620,055751102453;411,84851164741264;1313,8431783530566;2639,6696561647414;752,8610233294659
117;612,2426473317345;437,5283985054643;994,8352198007178;1494,9707157485345;392,3411112909028;1194,6268080066125;2366,3593488014544;718,2457206330661
118;550,6578316212215;389,10458682811634;907,120502583071;1526,7430734849693;366,7947358890705;1260,9042788072852;2577,8225891902525;671,8166829533642
119;562,2201006080113;399,6735599529734;929,4314218455007;1389,7834977500945;362,0402822921998;1123,111209190155;2241,5955053161256;667,5011098180206
120;570,2575991159484;408,64485185389424;941,2405554894863;1279,0166391263097;357,36555718570827;1009,3828039652702;1962,7584234043024;660,9764678248478
121;587,5248831385819;424,2214146980759;963,1748203319681;1198,385077674078;358,93633122895454;921,1490341460064;1737,26792242482;664,9806815860253
122;618,1892040693461;447,7143958997798;1009,1679198002527;1143,6671978598467;368,88720912798135;852,670444681372;1549,6225431297664;685,1069648614305
123;612,659369369682;444,17006963516764;1000,5260998072265;1112,237452204667;364,3663435405504;821,8914900985645;1478,8347779252142;676,2806829084435
124;619,020362037443;447,91369424017955;1021,2573166067647;1123,2821418914853;368,65529033742393;831,5099315041249;1499,534331842963;686,6202980553481
125;596,0849412831747;430,7631570918572;990,5330976229097;1178,4505426248754;362,5645610058145;896,2618089427239;1672,5092434503622;674,344535784225
126;631,2286170872944;465,700789205283;1025,9457744652536;1231,5684743504949;381,2909338683166;923,6783466517976;1695,2069407885592;701,1997799063355
127;640,0976600883607;466,1931734654707;1045,90641314762;1350,489792274074;395,21576306847294;1036,8869683261753;1962,4138062163229;726,4715024072733
128;716,8421735699704;511,7404504747514;1192,3569773804616;1378,8065231065837;434,84677680907754;1040,7975906878057;1928,74929186186;810,411761261985
129;795,0271457972118;562,4815317914009;1349,2127191122465;1401,6205397186893;473,95072265316156;1036,7781852560931;1873,8588504927654;895,1937428175124
130;822,7958078852647;583,6654394118194;1411,6580550790948;1456,4684545299176;490,808757549296;1079,3438440664497;1955,2300993987478;930,2299491978147
131;810,2030298658576;575,4630789906204;1398,6006260389977;1474,7716790695415;486,7605717173349;1101,379900642295;2015,330377595956;922,1175718549181
132;760,1016680550621;542,7539166804839;1308,6778187080854;1413,1236616712517;459,5081837826198;1056,840438961257;1939,502324253522;865,9598236426763
133;734,4888535344941;528,8367360463851;1255,943710609293;1390,6966375818558;445,10573572600003;1042,8867450395362;1918,9597007939822;835,0233372137199
