l_id;v_id_1;v_id_2;name;operator;ref;length_m;r_ohmkm;x_ohmkm;c_nfkm;i_th_max_a;from_relation;V1_long;V1_lat;V2_long;V2_lat;voltage;wires;cables;frequency
14331;5961;63449;Saarwellingen - Diefflen;;2451;685,750870668096;;;;;;6.76601568493305;49.3600771974691;6.7597342984385;49.3661651747881;220000,0;1,0;3,0;50,0
62700;41109;45521;;;;2771,67599572388;;;;;;4.84744555753455;43.4283408353126;4.86782003787986;43.4086017848749;225000,0;1,0;3,0;50,0
7239;61891;20158;;;;273,03740076276904;;;;;;6.99135016207806;51.5166334067088;6.99611167365592;51.5141819500837;110000,0;1,0;6,0;50,0
24683;5585;24006;;RTE;;1698,8118768762101;;;;;;3.33863983028749;50.3171987550589;3.3228647325285;50.3251985895551;225000,0;1,0;3,0;50,0
69165;42183;2679;;;;21263,904660494198;;;;;;3.70611325284493;43.4458536771196;3.84941411154129;43.5805441548576;225000,0;1,0;3,0;50,0
66879;60263;48271;;;ГСМ - Жлобин;52501,427406469295;;;;;;30.9425736270807;52.6346348845316;30.3791746142738;52.9136494454196;330000,0;1,0;3,0;50,0
70618;27059;16246;;;;1554,01395920928;;;;;;9.8185276649329;59.7274327820289;9.84371034975487;59.7199599298851;300000,0;1,0;3,0;50,0
68081;3031;2574;3103 Dollern-(Niedervieland/Unterweser)-Alfstedt;TenneT;3103;32107,0848238998;;;;;;9.06879107734103;53.5666414353503;9.50178971212981;53.5428143880013;380000,0;1,0;6,0;50,0
49163;61251;61253;;;;10,387313917329301;;;;;;15.1722946984775;37.1259786224096;15.1722290316302;37.1260728073941;220000,0;1,0;3,0;50,0
57449;40624;42172;"Konti-Skan;HVDC Konti-Skan;HVDC Konti-Skan;HVDC Konti-Skan;HVDC Konti-Skan;Konti-Skan";Energinet.dk;Konti-Skan;58665,57259207481;;;;;;11.1265425380199;57.3089861869467;11.9744019037264;57.5697844578322;300000,0;1,0;2,0;0,0
78619;65534;38959;;;;100002,76972972199;;;;;;25.6996372298612;65.2823880955105;24.5259618309537;65.8883007028504;400000,0;1,0;3,0;50,0
11980;28596;20492;220 kV Mory - Miłosna;PSE Operator;;25537,8965481693;;;;;;20.986812108378;52.3212058054421;21.2894164316791;52.2270564341278;220000,0;1,0;3,0;50,0
22693;14872;30382;"400 kV Trębaczew - Joachimów;Trębaczew";;406;32984,252149774904;;;;;;19.3166446568155;50.7600330902635;18.9894460973202;50.9491476755377;400000,0;1,0;3,0;50,0
22228;26683;30339;;TenneT;;238,27602893621398;;;;;;9.25120257612809;53.8976641888984;9.24764048653197;53.8981142089684;380000,0;1,0;6,0;50,0
58739;42988;42989;;;;1928,2205967226103;;;;;;-7.75777160728721;41.1387253940139;-7.73786257974734;41.1475504886087;220000,0;1,0;3,0;50,0
27686;58402;24528;;Red Eléctrica de España;;485,885425283124;;;;;;1.9793202289182;41.3731858190736;1.98443281069471;41.375289897651;220000,0;1,0;3,0;50,0
73478;12430;18072;"Рыжково - Мантурово;Семеновская - Рыжково;Семеновская - Рыжково;Семеновская - Рыжково;Семеновская - Рыжково;Рыжково - Мантурово;Рыжково - Мантурово";;;168578,856897625;;;;;;44.741046115173;58.3284259160588;44.6277752967646;56.9192544693399;220000,0;1,0;3,0;50,0
15219;9153;22558;;RTE;;7480,8964912437295;;;;;;-1.75376639523975;48.1282863172426;-1.65826602946655;48.1430380800747;225000,0;1,0;6,0;50,0
10778;12818;54505;;;;3013,36307248904;;;;;;8.49677871807033;62.6887973768035;8.5233032052129;62.6637758269678;132000,0;1,0;3,0;50,0
15611;56548;56549;;Elia;;8055,0853184217;;;;;;4.40785244797086;50.2345676865742;4.5099509207451;50.2145585996345;220000,0;1,0;6,0;50,0
16048;22700;56611;;RTE;;1451,00274422946;;;;;;5.80665519931626;46.0479085150774;5.82419552389092;46.0521081904342;400000,0;1,0;6,0;50,0
56835;7058;7705;;RTE;;443,598948721654;;;;;;-0.551246069390695;45.0104367778356;-0.556737052237411;45.0051668341503;225000,0;1,0;3,0;50,0
65529;28229;47386;;;236;22,6325621893848;;;;;;13.4446206979096;48.4351015086884;13.4428542096901;48.4345464156274;220000,0;1,0;3,0;50,0
21793;30296;57444;;RWE;;5130,456507880421;;;;;;9.02828545871078;49.373940772108;8.98561880648165;49.4074160818255;220000,0;1,0;6,0;50,0
48125;33123;67202;;;;9627,830310523741;;;;;;37.8272537000721;59.168884604866;37.8301688230006;59.1681052855344;220000,0;1,0;3,0;50,0
59386;63489;9356;;RWE;4512;2718,36229076075;;;;;;7.49135119157758;50.3507650750805;7.51948834219553;50.3570766508332;380000,0;1,0;9,0;50,0
65453;28311;13422;;;;3,9139258665532295;;;;;;17.2410573954581;59.7346369952743;17.2433551218135;59.7348137365819;400000,0;1,0;3,0;50,0
68440;9814;15158;;;;5657,37482800025;;;;;;25.8633670763108;42.1240560856672;25.9092426102194;42.1548300438043;400000,0;1,0;3,0;50,0
8658;41114;55231;Ponte-Verampio;;22.221;4195,57034802469;;;;;;8.4240631853466;46.3794617437608;8.42392366352755;46.3421811667049;220000,0;1,0;3,0;50,0
13062;44367;21242;ZYV-HGV (wit), ZYV1-WT10 (zwart);Tennet;;31379,6296490582;;;;;;6.47580864919263;52.7373399828268;6.18892080210698;52.5304841704809;220000,0;1,0;6,0;50,0
9966;22070;20251;"357;358 Bad Lauchstädt - Wolkramshausen";50Hertz;"357;358";55962,424845564004;;;;;;11.4592921342927;51.4296344126796;10.734830719174;51.4402352176865;220000,0;1,0;6,0;50,0
15423;40438;29645;National Grid Pembroke-?;;;29610,078134569703;;;;;;-3.75423745500999;51.7628659690218;-3.37724613471477;51.7300789947938;400000,0;1,0;6,0;50,0
48296;3064;33164;EnBW;Oberwald-Elfmorgenbruch/Umspannwerk Ost;;1591,64690072859;;;;;;8.45154445410459;49.0074029466055;8.44225699653296;48.9940304089524;110000,0;1,0;3,0;50,0
34620;49991;25470;;RTE;;54,597555700525895;;;;;;6.08113246290489;45.8920324532115;6.08102188732706;45.891487279823;225000,0;1,0;3,0;50,0
64475;49401;12705;;;;45519,7921358749;;;;;;27.0231012718515;43.2843347651892;27.575964411151;43.3344410125776;220000,0;1,0;3,0;50,0
8009;67125;54809;220kV Plewiska - Poznań Południe;;;1250,1933039375099;;;;;;16.7932542331837;52.359393206524;16.7791705646624;52.3686115430509;220000,0;1,0;3,0;50,0
27454;62199;24489;;RTE;;21827,752996736202;;;;;;2.19492308362916;50.8464470004206;1.88989213390035;50.8184960085591;225000,0;1,0;3,0;50,0
79915;30476;5638;;RTE;;14503,272425707;;;;;;2.42644947506642;49.2440557136247;2.2589411859609;49.2176015501642;225000,0;1,0;6,0;50,0
15829;14033;29685;;;;354,50267817842797;;;;;;18.0375174346095;59.4131587710778;18.0333333874835;59.4170729064517;220000,0;1,0;6,0;50,0
70091;50218;50014;;Svenska Kraftnät;;74144,51166318;;;;;;18.4395093490484;63.4101514541851;17.1010795323036;63.1761646155732;400000,0;1,0;3,0;50,0
10957;5466;21594;;;;4778,2819776159;;;;;;31.3947089599692;49.771071553808;31.4735247083859;49.7613337588427;330000,0;1,0;3,0;50,0
16542;40950;63717;Pisticci-Taranto Nord;;22.252;22003,8914985693;;;;;;17.3203930992683;40.531158174183;17.0662915044056;40.5599850765334;150000,0;1,0;3,0;50,0
40348;2616;26197;110kV Leithe Ost+West;RWE;4170;117,94713912294901;;;;;;7.1047025085247;51.4817826925318;7.10406016380902;51.4787188083506;110000,0;1,0;6,0;50,0
19492;63922;23220;;RTE;;331,547678021832;;;;;;4.88551048989223;45.2289839081365;4.88131832195583;45.229431387608;225000,0;1,0;3,0;50,0
53365;5143;33793;;;"21.351;21.352";40488,9523119241;;;;;;12.1141925945982;45.4009816685234;12.1285392196708;45.0442799890695;380000,0;1,0;6,0;50,0
36262;36624;59537;;;;76117,8553341234;;;;;;17.7046798009345;59.1464730704198;16.5792850546485;58.9953346819265;400000,0;1,0;3,0;50,0
67161;45288;48399;;;;74471,8293439091;;;;;;24.1654159828698;43.2635317500588;23.3391414964494;43.4659538337776;220000,0;1,0;3,0;50,0
8940;5532;54061;;RTE;;2825,14170229399;;;;;;2.80440804128148;44.0512097498744;2.76838710959314;44.059361732327;225000,0;1,0;3,0;50,0
48773;61188;61190;;;;251,03922014759;;;;;;8.32352271284363;49.0435286779686;8.32162699809955;49.0416916040345;110000,0;1,0;3,0;50,0
77444;51910;53491;;;22.254;416,515034971538;;;;;;7.61204552938593;45.1052104960544;7.61470235095507;45.1016805500375;220000,0;1,0;3,0;50,0
51502;28211;61551;220kV Itterbach Ost+West;;;167,597618283265;;;;;;7.00055052755495;51.2487118670899;7.00144551907252;51.250121793599;220000,0;1,0;6,0;50,0
18873;8842;23118;National Grid Pentir-Trawsfynydd;National Grid;;8130,0539565296995;;;;;;-4.16872682530267;52.9391001328341;-4.26258255960934;52.9696235787223;400000,0;1,0;6,0;50,0
25119;57907;24070;;;;27850,520531643197;;;;;;41.5028749869126;57.2842532958894;41.1403553624297;57.4251888997766;220000,0;1,0;3,0;50,0
38024;27712;25881;"2 x 380 kV, 2 x 220 kV, 2 x 110 kV;380kV Trebur Nord, 220kV Kranichstein Ost; 380kV Ried Ost, 220kV Pfungstadt";RWE;Anlage 4591;18187,9036285925;;;;;;8.6733134792451;49.9422308722911;8.52894019936866;49.856341498397;380000,0;1,0;18,0;50,0
63640;39274;12152;;;;1737,31581570936;;;;;;37.5113842475949;55.8320781941356;37.504655906486;55.8464746659092;110000,0;1,0;6,0;50,0
37534;59702;25820;;;;587,508266743346;;;;;;4.22006305142375;50.7620155848487;4.2201801917368;50.7567234819308;380000,0;1,0;3,0;50,0
6527;26965;63285;;;;165,542486366224;;;;;;32.4162223010999;55.6064923644105;32.4149537061341;55.6074597535463;220000,0;1,0;3,0;50,0
9717;20252;20795;;;;368,70947466968596;;;;;;8.95872398704777;50.082621680098;8.94961855223382;50.0888975099738;110000,0;1,0;3,0;50,0
13095;17149;20714;;;22.296;3445,99737550453;;;;;;7.64633935789305;45.0317214634367;7.61635979507929;45.0122519298677;220000,0;1,0;3,0;50,0
70601;21646;16241;;;;21106,9951085814;;;;;;25.5431211344764;66.4249826755822;25.3471148425258;66.2691008227403;220000,0;1,0;3,0;50,0
80736;39491;6142;Арзамасская-Осиновка;ФСК ЕЭС;;67993,8619159517;;;;;;43.9374672596883;55.0962762635858;44.8658338627874;54.8241609216257;500000,0;1,0;3,0;50,0
7441;39836;54393;National Grid Iron Acton-Oldbury;;;12515,5457680428;;;;;;-2.5719358075952;51.6472353955245;-2.48088615083102;51.5694622652938;132000,0;1,0;6,0;50,0
835;15028;28561;Ярославль - Тутаев;ФСК ЕЭС;ВЛ 220кВ Ярославль-Тутаев;49939,231498881105;;;;;;39.5321818078838;57.8432226574364;39.6689247461894;57.5186684238564;220000,0;1,0;3,0;50,0
11465;39809;21613;400kV Słupsk - Żarnowiec;PSE Operator oddział Bydgoszcz;;87241,6164854816;;;;;;18.1085910808269;54.7185976174731;16.8915821940956;54.5013491653045;400000,0;1,0;3,0;50,0
79877;34005;39728;;RTE;;32522,6015659781;;;;;;5.57932879115837;45.9880398191618;5.46646015702032;45.756155328736;400000,0;1,0;6,0;50,0
68563;46546;15222;;;;312,92319449517504;;;;;;21.3319580328554;50.4426330236847;21.3229664564734;50.4382794785747;110000,0;1,0;3,0;50,0
70837;39618;50333;;;;15401,3863860566;;;;;;36.6278731718562;55.4719415345743;36.6867216683924;55.3475082817025;220000,0;1,0;3,0;50,0
77817;44512;53720;;;;32754,6008085623;;;;;;24.7130391330895;65.9282100018419;25.1205379726577;66.154272463605;220000,0;1,0;3,0;50,0
67700;31900;48704;;;;45812,8440921458;;;;;;22.0839311470202;61.4501576867591;22.5859706240363;61.1510851102969;400000,0;1,0;3,0;50,0
22496;41090;23669;;;22.254;229,64669459326902;;;;;;7.571146826777;45.0980691738642;7.56947821082663;45.1017065029764;220000,0;1,0;6,0;50,0
29650;41614;64969;;Red Eléctrica de España;;67045,9435653897;;;;;;-4.85823531814255;42.8219721203794;-5.64712994571104;42.7989068083179;400000,0;1,0;3,0;50,0
33207;59203;59204;;;406, 461;790,9984683336099;;;;;;19.3048931025999;49.0545170824133;19.3007047974192;49.0610882163049;400000,0;1,0;6,0;50,0
23610;23025;23836;;RTE;;5865,926972151589;;;;;;2.6661316709682;49.316603617899;2.58934332115555;49.3199861772793;225000,0;1,0;6,0;50,0
11583;23569;20668;;Red Eléctrica de España;;45870,3057943904;;;;;;0.522511463046637;41.1853498179951;0.867221084408939;40.9535670229375;220000,0;1,0;3,0;50,0
65528;62164;47386;;;235;23,661116795715103;;;;;;13.4447647876811;48.4344366625363;13.4428542096901;48.4345464156274;220000,0;1,0;3,0;50,0
56654;41591;41682;;;;10737,7600928923;;;;;;24.0446922249904;64.2080682494208;24.2069870750657;64.2761307090016;110000,0;1,0;3,0;50,0
79505;20787;5428;;RTE;;74268,3177247094;;;;;;3.64995696470867;44.9731294271149;3.2547257804182;45.5550200815291;225000,0;1,0;3,0;50,0
79415;29060;39472;Tauern - Weißenbach;Austrian Power Grid AG;"221;222";45766,8267627681;;;;;;12.8762977015798;47.290860027734;13.4246375129952;47.3739204359248;220000,0;1,0;6,0;50,0
56534;39102;41614;;Red Eléctrica de España;;82043,7446483187;;;;;;-4.01994899942363;43.1195370764111;-4.85823531814255;42.8219721203794;400000,0;1,0;3,0;50,0
62566;42280;11397;;ФСК ЕЭС;;2163,9033274068397;;;;;;39.7792144357197;54.0388861915007;39.7587582138279;54.0235443640132;220000,0;1,0;6,0;50,0
56922;39270;41822;;;;2208,24374691193;;;;;;37.4371957047783;55.8409001082557;37.3996083094218;55.8366915194745;110000,0;1,0;6,0;50,0
994;12950;55621;;"ОАО ""ФСК ЕЭС""";;17288,354411737;;;;;;37.966382377673;51.2671716592346;37.9212193017117;51.1550404844591;330000,0;1,0;3,0;50,0
5229;9522;56036;;Київобленерго;;1444,3716086280301;;;;;;30.4106356948229;50.4760513767334;30.4105687156589;50.4906266576799;330000,0;1,0;3,0;50,0
57808;8223;42396;;Energinet.dk;;35572,4030392319;;;;;;12.5002602040738;56.0829605424587;12.1992678305885;55.8946371141102;400000,0;1,0;6,0;50,0
20774;8652;64157;;RTE;;1628,6411999506302;;;;;;2.0090119468584;45.1509354354425;2.02572252525634;45.1542045935167;225000,0;1,0;3,0;50,0
46088;40522;26940;;;;44002,2154034158;;;;;;40.2439046192212;60.9868383975855;40.171627072069;60.6157755817778;220000,0;1,0;3,0;50,0
65293;25198;13316;;;;32256,7709283822;;;;;;26.5090316077722;46.8750716959144;26.1768075015182;46.92147970546;220000,0;1,0;3,0;50,0
69670;60378;36828;;;;384,82334100242997;;;;;;10.646394549189;48.0256513081608;10.6412868211872;48.027451234708;110000,0;1,0;3,0;50,0
43272;25992;66600;"Leitung 2024;3026";TenneT;;642,932901920297;;;;;;10.1846438743188;52.3052654646128;10.1927379645233;52.302459989368;380000,0;1,0;12,0;50,0
32601;39926;25216;;;;203651,722293078;;;;;;-6.68805106329442;53.15439306366;-9.36919053947937;52.6391108847864;400000,0;1,0;3,0;50,0
2812;32096;55819;;;;1959,45750538028;;;;;;17.855785413996;59.6840682043549;17.8639783267916;59.666873532722;400000,0;1,0;6,0;50,0
2887;63555;28837;National Grid Rayleigh Main-Tilbury;;;1361,77148337138;;;;;;0.394490934939252;51.4630553933418;0.4031100946144;51.4735564014796;400000,0;1,0;6,0;50,0
8463;54266;21118;;RTE;;45337,5358980368;;;;;;5.77465834317731;43.784389086303;5.48607671934037;43.4683297592502;225000,0;1,0;3,0;50,0
62892;39336;11638;;;;33655,8847721377;;;;;;36.7746501425006;56.7395559717177;37.2873891271571;56.6396811993398;220000,0;1,0;6,0;50,0
20490;50979;64126;ligne 225 kV Petite Rosselle - Sarreguemines;RTE;;11469,968295121398;;;;;;6.97657937247857;49.153813695928;7.0368099460201;49.0869735999496;225000,0;1,0;3,0;50,0
25386;21032;30662;;;;64499,766505154;;;;;;16.655176870047;57.4158297012371;16.0772477240629;57.1077233139828;400000,0;1,0;3,0;50,0
59505;7835;9463;;;;14023,6897957456;;;;;;-8.45421120876592;41.1569684820429;-8.55296186556716;41.2343582623679;220000,0;1,0;6,0;50,0
